problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count
Q3,290,2026091489,16,16,True,214.80822283417015,3436.9315653467224,3.1986622999975225,107
Q3,291,2026091490,15,15,True,218.37008414649455,3275.551262197418,3.89126319999923,112
Q3,292,2026091491,15,15,True,214.330314213373,3214.9547132005946,3.0452763000066625,109
Q3,293,2026091492,13,13,True,248.36816822258587,3228.786186893616,2.774524200009182,115
Q3,294,2026091493,15,15,True,205.76149482929972,3086.4224224394957,4.621856300000218,117
Q3,295,2026091494,11,11,True,311.44126481660663,3425.8539129826727,2.9286316000070656,122
Q3,296,2026091495,15,15,True,237.9392580094256,3569.088870141384,4.4329042000026675,116
Q3,297,2026091496,10,10,True,331.72108881459917,3317.2108881459917,3.103500500001246,142
Q3,298,2026091497,15,15,True,238.81667008729605,3582.2500513094406,3.3134815999947023,110
Q3,299,2026091498,15,15,True,229.24355948057539,3438.653392208631,3.201403900005971,106
Q3,300,2026091499,13,13,True,254.8711322008653,3313.324718611249,4.300160999991931,131
