x_star_m,y_star_m,L_star_m,beta_star_deg,J_star_m,success,trial,epsilon_w,p_w,J0_m
861.9298462577201,507.02755362025755,1000.0,30.466038623136424,1554.9072936238713,True,84,0.4353535353535354,2.0,1580.676013286244
861.895189429811,507.08646445921846,1000.0,30.469954731057868,1554.305819153236,True,85,0.43939393939393945,2.0,1580.67685748884
861.860941975623,507.1446703820242,1000.0,30.47382413422622,1553.7118818429897,True,86,0.4434343434343434,2.0,1580.677710889171
861.8270955712165,507.20218585814604,1000.0,30.477647789047122,1553.125340887011,True,87,0.44747474747474747,2.0,1580.678573005603
861.793645898744,507.25901853840935,1000.0,30.481426198807437,1552.5460589651207,True,88,0.45151515151515154,2.0,1580.6794432783286
861.7605817434847,507.3151877808614,1000.0,30.485160645311286,1551.9739021358619,True,89,0.4555555555555556,2.0,1580.6803213505086
861.7278987709032,507.3707012430694,1000.0,30.48885163266112,1551.4087397332057,True,90,0.45959595959595956,2.0,1580.6812067093504
861.6955920856518,507.425567527059,1000.0,30.492499727892255,1550.8504442670314,True,91,0.4636363636363636,2.0,1580.6820988747909
861.6636542856377,507.47979948281807,1000.0,30.496105780646776,1550.2988913272102,True,92,0.4676767676767677,2.0,1580.682997455894
861.6320742467142,507.53341626862846,1000.0,30.499671060228383,1549.7539594911414,True,93,0.47171717171717176,2.0,1580.6839021920418
861.600851318421,507.58641925033055,1000.0,30.50319565299484,1549.2155302346087,True,94,0.4757575757575757,2.0,1580.6848125443598
861.5699799369025,507.6388181291156,1000.0,30.506680199680776,1548.6834878458008,True,95,0.4797979797979798,2.0,1580.6857281291027
861.5394523015414,507.6906263936337,1000.0,30.51012559304274,1548.157719342377,True,96,0.48383838383838385,2.0,1580.6866486483268
861.5092658909791,507.7418485647862,1000.0,30.513532129599355,1547.6381143914577,True,97,0.4878787878787879,2.0,1580.687573662839
861.4794018764616,507.79251682411973,1000.0,30.516901945627232,1547.1245652324023,True,98,0.491919191919192,2.0,1580.688503256157
861.4498727002458,507.8426102885917,1000.0,30.520233648369732,1546.6169666022797,True,99,0.49595959595959593,2.0,1580.6894365580545
861.4206647571672,507.89215226199383,1000.0,30.523528783926576,1546.1152156639123,True,100,0.5,2.0,1580.690373522172
